ItemName,Year,AvgValue
Beans,1961,33
Beans,1962,31
Beans,1963,31
Beans,1964,31
Beans,1965,27
Beans,1966,26
Beans,1967,28
Beans,1968,28
Beans,1969,34
Beans,1970,28
Beans,1971,29
Beans,1972,25
Beans,1973,31
Beans,1974,23
Beans,1975,28
Beans,1976,27
Beans,1977,27
Beans,1978,22
Beans,1979,27
Beans,1980,23
Beans,1981,23
Beans,1982,27
Beans,1983,27
Beans,1984,21
Beans,1985,30
Beans,1986,28
Beans,1987,22
Beans,1988,29
Beans,1989,25
Beans,1990,28
Beans,1991,31
Beans,1992,33
Beans,1993,32
Beans,1994,33
Beans,1995,33
Beans,1996,32
Beans,1997,32
Beans,1998,31
Beans,1999,33
Beans,2000,33
Beans,2001,31
Beans,2002,32
Beans,2003,31
Beans,2004,29
Beans,2005,31
Beans,2006,31
Beans,2007,30
Beans,2008,30
Beans,2009,30
"Cereals, other",1961,10
"Cereals, other",1962,9
"Cereals, other",1963,5
"Cereals, other",1964,7
"Cereals, other",1965,10
"Cereals, other",1966,9
"Cereals, other",1967,8
"Cereals, other",1968,8
"Cereals, other",1969,10
"Cereals, other",1970,6
"Cereals, other",1971,10
"Cereals, other",1972,9
"Cereals, other",1973,8
"Cereals, other",1974,8
"Cereals, other",1975,11
"Cereals, other",1976,12
"Cereals, other",1977,9
"Cereals, other",1978,8
"Cereals, other",1979,11
"Cereals, other",1980,11
"Cereals, other",1981,15
"Cereals, other",1982,0
"Cereals, other",1983,0
"Cereals, other",1984,0
"Cereals, other",1985,0
"Cereals, other",1986,0
"Cereals, other",1987,0
"Cereals, other",1988,0
"Cereals, other",1989,0
"Cereals, other",1990,0
"Cereals, other",1991,0
"Cereals, other",1992,0
"Cereals, other",1993,0
"Cereals, other",1994,0
"Cereals, other",1995,0
"Cereals, other",1996,0
"Cereals, other",1997,0
"Cereals, other",1998,0
"Cereals, other",1999,0
"Cereals, other",2000,0
"Cereals, other",2001,0
"Cereals, other",2002,0
"Cereals, other",2003,1
"Cereals, other",2004,2
"Cereals, other",2005,2
"Cereals, other",2006,2
"Cereals, other",2007,3
"Cereals, other",2008,3
"Cereals, other",2009,4
Maize,1961,78
Maize,1962,77
Maize,1963,79
Maize,1964,82
Maize,1965,84
Maize,1966,86
Maize,1967,84
Maize,1968,75
Maize,1969,74
Maize,1970,70
Maize,1971,67
Maize,1972,64
Maize,1973,64
Maize,1974,65
Maize,1975,66
Maize,1976,74
Maize,1977,80
Maize,1978,80
Maize,1979,83
Maize,1980,85
Maize,1981,89
Maize,1982,88
Maize,1983,95
Maize,1984,103
Maize,1985,112
Maize,1986,124
Maize,1987,138
Maize,1988,138
Maize,1989,144
Maize,1990,146
Maize,1991,147
Maize,1992,143
Maize,1993,140
Maize,1994,128
Maize,1995,128
Maize,1996,127
Maize,1997,124
Maize,1998,124
Maize,1999,123
Maize,2000,126
Maize,2001,148
Maize,2002,136
Maize,2003,135
Maize,2004,160
Maize,2005,156
Maize,2006,154
Maize,2007,153
Maize,2008,151
Maize,2009,151
Millets,1961,0
Millets,1962,0
Millets,1963,0
Millets,1964,0
Millets,1965,0
Millets,1966,0
Millets,1967,0
Millets,1968,0
Millets,1969,0
Millets,1970,0
Millets,1971,0
Millets,1972,0
Millets,1973,0
Millets,1974,0
Millets,1975,0
Millets,1976,0
Millets,1977,0
Millets,1978,0
Millets,1979,0
Millets,1980,0
Millets,1981,0
Millets,1982,0
Millets,1983,0
Millets,1984,0
Millets,1985,0
Millets,1986,0
Millets,1987,0
Millets,1988,0
Millets,1989,0
Millets,1990,0
Millets,1991,0
Millets,1992,0
Millets,1993,0
Millets,1994,0
Millets,1995,0
Millets,1996,0
Millets,1997,0
Millets,1998,0
Millets,1999,0
Millets,2000,0
Millets,2001,0
Millets,2002,0
Millets,2003,0
Millets,2004,0
Millets,2005,0
Millets,2006,0
Millets,2007,0
Millets,2008,0
Millets,2009,0
Oats,1961,16
Oats,1962,9
Oats,1963,16
Oats,1964,16
Oats,1965,16
Oats,1966,15
Oats,1967,16
Oats,1968,13
Oats,1969,13
Oats,1970,13
Oats,1971,14
Oats,1972,14
Oats,1973,14
Oats,1974,13
Oats,1975,13
Oats,1976,13
Oats,1977,12
Oats,1978,12
Oats,1979,12
Oats,1980,11
Oats,1981,11
Oats,1982,11
Oats,1983,12
Oats,1984,12
Oats,1985,13
Oats,1986,13
Oats,1987,14
Oats,1988,21
Oats,1989,27
Oats,1990,27
Oats,1991,28
Oats,1992,28
Oats,1993,29
Oats,1994,22
Oats,1995,21
Oats,1996,22
Oats,1997,23
Oats,1998,16
Oats,1999,15
Oats,2000,16
Oats,2001,17
Oats,2002,17
Oats,2003,18
Oats,2004,18
Oats,2005,19
Oats,2006,19
Oats,2007,19
Oats,2008,19
Oats,2009,18
Peas,1961,3
Peas,1962,5
Peas,1963,4
Peas,1964,4
Peas,1965,3
Peas,1966,3
Peas,1967,2
Peas,1968,2
Peas,1969,4
Peas,1970,1
Peas,1971,4
Peas,1972,0
Peas,1973,0
Peas,1974,4
Peas,1975,3
Peas,1976,1
Peas,1977,0
Peas,1978,6
Peas,1979,2
Peas,1980,3
Peas,1981,1
Peas,1982,1
Peas,1983,1
Peas,1984,0
Peas,1985,1
Peas,1986,3
Peas,1987,4
Peas,1988,3
Peas,1989,2
Peas,1990,2
Peas,1991,3
Peas,1992,3
Peas,1993,2
Peas,1994,2
Peas,1995,4
Peas,1996,4
Peas,1997,6
Peas,1998,6
Peas,1999,5
Peas,2000,3
Peas,2001,3
Peas,2002,6
Peas,2003,4
Peas,2004,8
Peas,2005,8
Peas,2006,6
Peas,2007,9
Peas,2008,7
Peas,2009,9
"Pulses, other",1961,1
"Pulses, other",1962,1
"Pulses, other",1963,1
"Pulses, other",1964,2
"Pulses, other",1965,0
"Pulses, other",1966,0
"Pulses, other",1967,0
"Pulses, other",1968,0
"Pulses, other",1969,0
"Pulses, other",1970,0
"Pulses, other",1971,0
"Pulses, other",1972,0
"Pulses, other",1973,0
"Pulses, other",1974,1
"Pulses, other",1975,1
"Pulses, other",1976,0
"Pulses, other",1977,0
"Pulses, other",1978,1
"Pulses, other",1979,1
"Pulses, other",1980,2
"Pulses, other",1981,1
"Pulses, other",1982,0
"Pulses, other",1983,0
"Pulses, other",1984,0
"Pulses, other",1985,0
"Pulses, other",1986,1
"Pulses, other",1987,1
"Pulses, other",1988,0
"Pulses, other",1989,0
"Pulses, other",1990,1
"Pulses, other",1991,2
"Pulses, other",1992,1
"Pulses, other",1993,1
"Pulses, other",1994,1
"Pulses, other",1995,1
"Pulses, other",1996,1
"Pulses, other",1997,2
"Pulses, other",1998,2
"Pulses, other",1999,2
"Pulses, other",2000,4
"Pulses, other",2001,2
"Pulses, other",2002,2
"Pulses, other",2003,2
"Pulses, other",2004,3
"Pulses, other",2005,4
"Pulses, other",2006,1
"Pulses, other",2007,2
"Pulses, other",2008,1
"Pulses, other",2009,3
Rice,1961,27
Rice,1962,32
Rice,1963,29
Rice,1964,31
Rice,1965,33
Rice,1966,32
Rice,1967,33
Rice,1968,34
Rice,1969,36
Rice,1970,30
Rice,1971,34
Rice,1972,31
Rice,1973,31
Rice,1974,33
Rice,1975,34
Rice,1976,31
Rice,1977,33
Rice,1978,25
Rice,1979,42
Rice,1980,42
Rice,1981,49
Rice,1982,53
Rice,1983,44
Rice,1984,38
Rice,1985,40
Rice,1986,51
Rice,1987,62
Rice,1988,63
Rice,1989,67
Rice,1990,73
Rice,1991,76
Rice,1992,77
Rice,1993,78
Rice,1994,86
Rice,1995,89
Rice,1996,83
Rice,1997,87
Rice,1998,88
Rice,1999,94
Rice,2000,90
Rice,2001,90
Rice,2002,92
Rice,2003,83
Rice,2004,87
Rice,2005,88
Rice,2006,89
Rice,2007,88
Rice,2008,88
Rice,2009,87
Rye,1961,5
Rye,1962,5
Rye,1963,5
Rye,1964,5
Rye,1965,4
Rye,1966,5
Rye,1967,4
Rye,1968,5
Rye,1969,4
Rye,1970,5
Rye,1971,5
Rye,1972,4
Rye,1973,4
Rye,1974,3
Rye,1975,3
Rye,1976,2
Rye,1977,2
Rye,1978,2
Rye,1979,2
Rye,1980,1
Rye,1981,1
Rye,1982,1
Rye,1983,2
Rye,1984,1
Rye,1985,2
Rye,1986,1
Rye,1987,1
Rye,1988,1
Rye,1989,3
Rye,1990,3
Rye,1991,3
Rye,1992,3
Rye,1993,3
Rye,1994,2
Rye,1995,2
Rye,1996,2
Rye,1997,2
Rye,1998,2
Rye,1999,2
Rye,2000,2
Rye,2001,2
Rye,2002,2
Rye,2003,2
Rye,2004,2
Rye,2005,2
Rye,2006,2
Rye,2007,2
Rye,2008,2
Rye,2009,2
Sorghum,1961,0
Sorghum,1962,0
Sorghum,1963,0
Sorghum,1964,0
Sorghum,1965,0
Sorghum,1966,0
Sorghum,1967,0
Sorghum,1968,0
Sorghum,1969,0
Sorghum,1970,0
Sorghum,1971,0
Sorghum,1972,0
Sorghum,1973,0
Sorghum,1974,0
Sorghum,1975,6
Sorghum,1976,6
Sorghum,1977,6
Sorghum,1978,6
Sorghum,1979,6
Sorghum,1980,5
Sorghum,1981,4
Sorghum,1982,4
Sorghum,1983,4
Sorghum,1984,4
Sorghum,1985,4
Sorghum,1986,0
Sorghum,1987,0
Sorghum,1988,1
Sorghum,1989,7
Sorghum,1990,9
Sorghum,1991,10
Sorghum,1992,12
Sorghum,1993,13
Sorghum,1994,16
Sorghum,1995,8
Sorghum,1996,9
Sorghum,1997,10
Sorghum,1998,10
Sorghum,1999,10
Sorghum,2000,10
Sorghum,2001,10
Sorghum,2002,10
Sorghum,2003,10
Sorghum,2004,10
Sorghum,2005,10
Sorghum,2006,10
Sorghum,2007,10
Sorghum,2008,9
Sorghum,2009,9
Wheat,1961,504
Wheat,1962,493
Wheat,1963,487
Wheat,1964,490
Wheat,1965,484
Wheat,1966,480
Wheat,1967,484
Wheat,1968,484
Wheat,1969,484
Wheat,1970,478
Wheat,1971,477
Wheat,1972,476
Wheat,1973,489
Wheat,1974,481
Wheat,1975,496
Wheat,1976,516
Wheat,1977,501
Wheat,1978,500
Wheat,1979,510
Wheat,1980,509
Wheat,1981,504
Wheat,1982,517
Wheat,1983,506
Wheat,1984,517
Wheat,1985,541
Wheat,1986,542
Wheat,1987,563
Wheat,1988,567
Wheat,1989,562
Wheat,1990,590
Wheat,1991,591
Wheat,1992,601
Wheat,1993,621
Wheat,1994,628
Wheat,1995,616
Wheat,1996,645
Wheat,1997,647
Wheat,1998,631
Wheat,1999,630
Wheat,2000,647
Wheat,2001,624
Wheat,2002,604
Wheat,2003,612
Wheat,2004,605
Wheat,2005,604
Wheat,2006,614
Wheat,2007,625
Wheat,2008,614
Wheat,2009,606
